,Gmt time,Open,High,Low,Close,Volume,Close_7,True_Close_7,buy_profit,sell_profit
1877.0,21.02.2016 00:00:00.000,1.11103,1.11246,1.11101,1.11218,12360.7998,1.106606,1.08853,0.0,0.02364999999999995
1881.0,25.02.2016 00:00:00.000,1.1014,1.10498,1.09867,1.10231,340465.625,1.1093751,1.10055,-0.0017599999999999838,0.0
1888.0,03.03.2016 00:00:00.000,1.08693,1.09727,1.08536,1.09455,335634.1875,1.1108787,1.11468,0.02012999999999998,0.0
1891.0,06.03.2016 00:00:00.000,1.09886,1.09972,1.0988,1.09913,9280.2695,1.1122596,1.10999,0.010860000000000092,0.0
1906.0,21.03.2016 00:00:00.000,1.12744,1.12848,1.1233,1.12349,288874.8125,1.1151321,1.12892,0.0,-0.005429999999999824
1915.0,30.03.2016 00:00:00.000,1.12893,1.13654,1.12863,1.13327,340341.5313,1.1248987,1.13668,0.0,-0.003409999999999913
1922.0,06.04.2016 00:00:00.000,1.13805,1.14316,1.13266,1.14001,255691.4531,1.139737,1.12651,0.0,0.013500000000000068
1923.0,07.04.2016 00:00:00.000,1.14002,1.14539,1.13376,1.13668,284966.0,1.1387789,1.12823,-0.008449999999999847,0.0
1924.0,08.04.2016 00:00:00.000,1.13667,1.14193,1.13491,1.1395,235422.7031,1.1396006,1.12975,-0.009749999999999925,0.0
1927.0,11.04.2016 00:00:00.000,1.14047,1.14473,1.13723,1.14102,237009.9375,1.139737,1.13583,0.0,0.005190000000000028
1929.0,13.04.2016 00:00:00.000,1.1383,1.13912,1.12682,1.12779,265812.625,1.1328356,1.12902,0.0012299999999998423,0.0
1941.0,25.04.2016 00:00:00.000,1.12312,1.12781,1.12235,1.12664,234944.9063,1.136199,1.15008,0.023439999999999905,0.0
1948.0,02.05.2016 00:00:00.000,1.14608,1.1536,1.14482,1.15234,211397.3594,1.1534756,1.1373,-0.015039999999999942,0.0
1952.0,06.05.2016 00:00:00.000,1.14004,1.14802,1.13866,1.14023,232430.125,1.1464915,1.13172,-0.008510000000000018,0.0
1962.0,16.05.2016 00:00:00.000,1.13173,1.13422,1.13029,1.13151,175442.7969,1.1289881,1.11352,0.0,0.01798999999999995
1964.0,18.05.2016 00:00:00.000,1.13141,1.13161,1.12141,1.12195,234894.3438,1.1232798,1.11915,-0.0027999999999999137,0.0
1969.0,23.05.2016 00:00:00.000,1.12204,1.12428,1.11875,1.12129,182541.2031,1.1228508,1.1134,-0.007889999999999953,0.0
1970.0,24.05.2016 00:00:00.000,1.12131,1.12271,1.11324,1.11352,215210.0938,1.1187372,1.11875,0.005229999999999846,0.0
