,Gmt time,Open,High,Low,Close,Volume
1389,21.10.2014 00:00:00.000,1.27942,1.28401,1.27064,1.27136,194253.7813
1390,22.10.2014 00:00:00.000,1.27136,1.27396,1.26372,1.26415,186794.8281
1391,23.10.2014 00:00:00.000,1.26415,1.26766,1.26137,1.26492,175690.375
1392,24.10.2014 00:00:00.000,1.26492,1.26957,1.26349,1.26688,156079.2656
1394,26.10.2014 00:00:00.000,1.26754,1.26857,1.26719,1.26758,9743.8398
1395,27.10.2014 00:00:00.000,1.26759,1.27231,1.26657,1.27022,169084.9375
1396,28.10.2014 00:00:00.000,1.27022,1.27648,1.26845,1.27369,176327.8125
1397,29.10.2014 00:00:00.000,1.2737,1.27705,1.26264,1.26316,189783.1094
1398,30.10.2014 00:00:00.000,1.26318,1.26329,1.25474,1.2609,223223.5938
1399,31.10.2014 00:00:00.000,1.26088,1.26089,1.2486,1.2522,217950.2188
1401,02.11.2014 00:00:00.000,1.25067,1.25138,1.25017,1.25018,10622.7598
1402,03.11.2014 00:00:00.000,1.25019,1.25112,1.24396,1.24921,209827.7969
1403,04.11.2014 00:00:00.000,1.24921,1.25773,1.24901,1.25516,204778.8281
1404,05.11.2014 00:00:00.000,1.25516,1.25669,1.24572,1.24775,222601.0313
1405,06.11.2014 00:00:00.000,1.24774,1.25333,1.23648,1.23803,239752.3438
1406,07.11.2014 00:00:00.000,1.238,1.24694,1.2358,1.24522,221870.9844
1408,09.11.2014 00:00:00.000,1.24722,1.24801,1.24598,1.246,8829.5498
1409,10.11.2014 00:00:00.000,1.24599,1.25091,1.24181,1.24259,176970.625
1410,11.11.2014 00:00:00.000,1.24257,1.24991,1.23943,1.24756,187057.5313
1411,12.11.2014 00:00:00.000,1.24756,1.24978,1.24194,1.24298,219437.9375
1412,13.11.2014 00:00:00.000,1.24298,1.24915,1.24279,1.24735,170570.0781
1413,14.11.2014 00:00:00.000,1.24736,1.25463,1.23985,1.25234,201690.2344
1415,16.11.2014 00:00:00.000,1.25301,1.25321,1.25139,1.25211,9030.21
1416,17.11.2014 00:00:00.000,1.25211,1.25774,1.24435,1.245,186573.3906
1417,18.11.2014 00:00:00.000,1.245,1.2545,1.24491,1.25322,177316.6094
1418,19.11.2014 00:00:00.000,1.25322,1.25985,1.25123,1.25405,242193.6563
1419,20.11.2014 00:00:00.000,1.25404,1.25752,1.25042,1.25431,215089.0781
1420,21.11.2014 00:00:00.000,1.2543,1.25682,1.2375,1.23871,199164.625
1422,23.11.2014 00:00:00.000,1.23627,1.23753,1.23622,1.23715,8310.46
1423,24.11.2014 00:00:00.000,1.23716,1.24446,1.23716,1.24338,157714.0781
1424,25.11.2014 00:00:00.000,1.24339,1.24869,1.24018,1.24795,162135.5625
1425,26.11.2014 00:00:00.000,1.24795,1.25312,1.24437,1.25042,147442.4375
1426,27.11.2014 00:00:00.000,1.25042,1.25235,1.24558,1.24595,96670.0
1427,28.11.2014 00:00:00.000,1.24596,1.24902,1.24263,1.24497,131480.2969
1429,30.11.2014 00:00:00.000,1.24631,1.24641,1.24317,1.24366,8176.0698
1430,01.12.2014 00:00:00.000,1.24368,1.25067,1.24194,1.24699,183811.9531
1431,02.12.2014 00:00:00.000,1.24699,1.24762,1.23769,1.23876,156432.125
1432,03.12.2014 00:00:00.000,1.23876,1.23905,1.23012,1.2314,172428.5
1433,04.12.2014 00:00:00.000,1.2314,1.24563,1.22795,1.23857,206547.2344
1434,05.12.2014 00:00:00.000,1.23855,1.23931,1.22709,1.2281,155977.7969
1436,07.12.2014 00:00:00.000,1.22864,1.23027,1.22804,1.22938,5605.2598
1437,08.12.2014 00:00:00.000,1.22935,1.23439,1.22472,1.23147,155386.125
1438,09.12.2014 00:00:00.000,1.23147,1.24475,1.2292,1.2388,199364.8281
1439,10.12.2014 00:00:00.000,1.2388,1.24866,1.23622,1.24804,180699.6719
1440,11.12.2014 00:00:00.000,1.24803,1.24951,1.23702,1.23931,203079.0469
1441,12.12.2014 00:00:00.000,1.23931,1.24851,1.23843,1.24597,171665.0469
1443,14.12.2014 00:00:00.000,1.2474,1.24777,1.24562,1.24638,10271.2803
1444,15.12.2014 00:00:00.000,1.24638,1.24786,1.24146,1.24402,179326.7344
1445,16.12.2014 00:00:00.000,1.24401,1.25699,1.24355,1.25106,214930.3594
1446,17.12.2014 00:00:00.000,1.25106,1.25159,1.23209,1.23368,201911.8438
1447,18.12.2014 00:00:00.000,1.23367,1.23524,1.22657,1.22883,178869.4375
1448,19.12.2014 00:00:00.000,1.22883,1.23022,1.22201,1.22265,139780.5156
1450,21.12.2014 00:00:00.000,1.22229,1.22264,1.22198,1.22245,3196.8799
1451,22.12.2014 00:00:00.000,1.22245,1.22725,1.22166,1.2223,108293.0703
1452,23.12.2014 00:00:00.000,1.22231,1.22456,1.21646,1.21752,102312.2891
1453,24.12.2014 00:00:00.000,1.21752,1.22201,1.21695,1.21911,60177.8281
1454,25.12.2014 00:00:00.000,1.21917,1.22283,1.21869,1.22079,8123.2402
1455,26.12.2014 00:00:00.000,1.22075,1.22218,1.21686,1.21762,46510.9219
1457,28.12.2014 00:00:00.000,1.21792,1.21804,1.21672,1.21682,5834.0601
1458,29.12.2014 00:00:00.000,1.21682,1.2221,1.21429,1.21533,95526.3984
1459,30.12.2014 00:00:00.000,1.21535,1.21873,1.21239,1.21613,106527.1016
1460,31.12.2014 00:00:00.000,1.21613,1.21697,1.20968,1.20976,73325.1016
1461,01.01.2015 00:00:00.000,1.21038,1.21073,1.20783,1.20869,5732.3901
1462,02.01.2015 00:00:00.000,1.20871,1.2089,1.20004,1.20017,119384.4609
1464,04.01.2015 00:00:00.000,1.19495,1.19537,1.18677,1.19469,13740.6396
1465,05.01.2015 00:00:00.000,1.19469,1.19762,1.18872,1.19374,159296.5625
1466,06.01.2015 00:00:00.000,1.19374,1.19687,1.18461,1.18722,177669.7969
1467,07.01.2015 00:00:00.000,1.18722,1.18966,1.18022,1.18337,181679.8281
1468,08.01.2015 00:00:00.000,1.18337,1.18475,1.17543,1.1792,150219.7969
1469,09.01.2015 00:00:00.000,1.1792,1.1846,1.17629,1.18406,167943.6563
1471,11.01.2015 00:00:00.000,1.18452,1.18699,1.1845,1.18697,4748.77
1472,12.01.2015 00:00:00.000,1.18697,1.18708,1.17861,1.18318,163540.0938
1473,13.01.2015 00:00:00.000,1.18319,1.18596,1.17531,1.1777,190749.3906
1474,14.01.2015 00:00:00.000,1.17771,1.18464,1.17273,1.1784,214321.4219
1475,15.01.2015 00:00:00.000,1.1784,1.17903,1.15675,1.1636,286756.3438
1476,16.01.2015 00:00:00.000,1.16361,1.16487,1.146,1.15626,243185.7344
1478,18.01.2015 00:00:00.000,1.15515,1.15735,1.15515,1.15612,4557.4199
1479,19.01.2015 00:00:00.000,1.15614,1.16388,1.15514,1.15947,140976.8906
1480,20.01.2015 00:00:00.000,1.15946,1.1615,1.15405,1.15454,152910.875
1481,21.01.2015 00:00:00.000,1.15454,1.16799,1.15412,1.16147,177131.7813
1482,22.01.2015 00:00:00.000,1.16146,1.16505,1.1316,1.13467,208738.8281
1483,23.01.2015 00:00:00.000,1.13468,1.1374,1.11146,1.1202,228253.3906
1485,25.01.2015 00:00:00.000,1.11521,1.11562,1.10979,1.11417,12903.0596
1486,26.01.2015 00:00:00.000,1.11417,1.12954,1.11381,1.12496,177766.5625
1487,27.01.2015 00:00:00.000,1.12496,1.14225,1.12237,1.13678,179735.7656
1488,28.01.2015 00:00:00.000,1.13678,1.13821,1.12725,1.1283,175837.875
1489,29.01.2015 00:00:00.000,1.12829,1.13678,1.12619,1.13337,170749.1875
1490,30.01.2015 00:00:00.000,1.13338,1.13635,1.12783,1.1285,170262.0938
1492,01.02.2015 00:00:00.000,1.13112,1.13192,1.13005,1.1307,5791.9702
1493,02.02.2015 00:00:00.000,1.1307,1.13621,1.12922,1.13387,149828.0625
1494,03.02.2015 00:00:00.000,1.13386,1.15338,1.13124,1.14565,192626.6875
1495,04.02.2015 00:00:00.000,1.14564,1.14848,1.13039,1.13165,170795.25
1496,05.02.2015 00:00:00.000,1.13165,1.14988,1.13159,1.14705,159348.8125
1497,06.02.2015 00:00:00.000,1.14705,1.14735,1.13119,1.13128,140728.5938
1499,08.02.2015 00:00:00.000,1.12957,1.13254,1.12953,1.13135,6161.4399
1500,09.02.2015 00:00:00.000,1.13135,1.13595,1.12703,1.13242,145020.2656
1501,10.02.2015 00:00:00.000,1.13242,1.13454,1.12729,1.13185,152770.7188
1502,11.02.2015 00:00:00.000,1.13185,1.13516,1.128,1.13108,148970.8906
1503,12.02.2015 00:00:00.000,1.13109,1.14228,1.13034,1.14037,172088.1094
1504,13.02.2015 00:00:00.000,1.14037,1.14427,1.138,1.13877,143354.5781
1506,15.02.2015 00:00:00.000,1.13989,1.14006,1.13891,1.13975,6695.5801
1507,16.02.2015 00:00:00.000,1.13975,1.1429,1.13193,1.13322,104142.5
1508,17.02.2015 00:00:00.000,1.13322,1.14489,1.13218,1.14039,146336.9219
1509,18.02.2015 00:00:00.000,1.14039,1.14156,1.13339,1.13995,154129.0781
1510,19.02.2015 00:00:00.000,1.13995,1.145,1.13552,1.13657,137692.9844
1511,20.02.2015 00:00:00.000,1.13655,1.14297,1.1279,1.13772,176910.4688
1513,22.02.2015 00:00:00.000,1.13911,1.13961,1.13771,1.13802,4454.5298
1514,23.02.2015 00:00:00.000,1.13802,1.13932,1.12951,1.13336,121740.7031
1515,24.02.2015 00:00:00.000,1.13336,1.13581,1.12883,1.13393,155389.8594
1516,25.02.2015 00:00:00.000,1.13392,1.13886,1.13358,1.13638,151797.0469
1517,26.02.2015 00:00:00.000,1.13637,1.13796,1.11836,1.12026,166406.7031
1518,27.02.2015 00:00:00.000,1.12024,1.12451,1.11756,1.11933,167010.125
1520,01.03.2015 00:00:00.000,1.11808,1.11867,1.11601,1.11607,6453.1099
1521,02.03.2015 00:00:00.000,1.11609,1.12405,1.11609,1.11766,128399.0391
1522,03.03.2015 00:00:00.000,1.11765,1.12175,1.11546,1.11827,144211.2031
1523,04.03.2015 00:00:00.000,1.11826,1.11856,1.10616,1.1079,154637.5
1524,05.03.2015 00:00:00.000,1.10791,1.11142,1.09874,1.10316,170648.9375
1525,06.03.2015 00:00:00.000,1.10316,1.10325,1.0839,1.0844,165727.6563
1527,08.03.2015 00:00:00.000,1.08302,1.08463,1.08228,1.08446,8227.2998
1528,09.03.2015 00:00:00.000,1.08445,1.09065,1.08296,1.08348,143704.0938
1529,10.03.2015 00:00:00.000,1.08351,1.08368,1.06679,1.07066,228231.4063
1530,11.03.2015 00:00:00.000,1.07065,1.0717,1.05112,1.05477,262298.25
1531,12.03.2015 00:00:00.000,1.05478,1.06837,1.0494,1.06264,238100.1719
1532,13.03.2015 00:00:00.000,1.06267,1.06347,1.04624,1.04943,203399.7656
1534,15.03.2015 00:00:00.000,1.04701,1.05054,1.04697,1.04837,7966.1099
1535,16.03.2015 00:00:00.000,1.04837,1.06193,1.04834,1.05717,164906.5781
1536,17.03.2015 00:00:00.000,1.05715,1.06507,1.05514,1.0595,159779.3281
1537,18.03.2015 00:00:00.000,1.05948,1.10351,1.05799,1.08485,213461.2344
1538,19.03.2015 00:00:00.000,1.08486,1.09193,1.06128,1.06688,248335.7031
